,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
40,sc50b,49,71,3479,21,14,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
41,sc50b,49,71,3479,21,14,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file
42,sc50a,49,71,3479,19,13,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:16,valid solution
43,sc50a,49,71,3479,19,13,0,0,0,theorem_model,coinbc,10,no,equal by permutation,netlib/,equivalent,01:10:54,valid solution
44,sc50a,49,71,3479,19,13,0,0,0,theorem_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:45,valid solution
45,sc50a,49,71,3479,19,13,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:12,valid solution
46,sc50a,49,71,3479,19,13,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:24,valid solution
47,sc50a,49,71,3479,19,13,0,0,0,quadratic_model,coinbc,10,yes,equal by permutation,netlib/,unknown due to timeout,3.0:27.0:25.43711280822754,
48,sc50a,49,71,3479,19,13,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:40,valid solution
49,sc50a,49,71,3479,19,13,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:08,valid solution
50,sc50a,49,71,3479,19,13,0,0,0,permutation_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:11,valid solution
51,sc50a,49,71,3479,19,13,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
52,sc50a,49,71,3479,19,13,0,0,0,permutation_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:00:47,valid solution
53,sc50a,49,71,3479,19,13,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:04,valid solution
54,sc50a,49,71,3479,19,13,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
55,sc50a,49,71,3479,19,13,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file
56,adlittle,98,68,6664,17,22,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:01:21,valid solution
57,adlittle,98,68,6664,17,22,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
58,adlittle,98,68,6664,17,22,0,0,0,theorem_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:05:13,valid solution
59,adlittle,98,68,6664,17,22,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:34,valid solution
60,adlittle,98,68,6664,17,22,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:38,valid solution
61,adlittle,98,68,6664,17,22,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,netlib/,not equivalent,03:09:31,
62,adlittle,98,68,6664,17,22,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:01:13,valid solution
63,adlittle,98,68,6664,17,22,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:25,valid solution
64,adlittle,98,68,6664,17,22,0,0,0,permutation_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:01:20,valid solution
65,adlittle,98,68,6664,17,22,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
66,adlittle,98,68,6664,17,22,0,0,0,permutation_model,chuffed,1,unknown,equal by permutation,netlib/,unknown, ,no result file
67,adlittle,98,68,6664,17,22,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:29,valid solution
68,adlittle,98,68,6664,17,22,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
69,adlittle,98,68,6664,17,22,0,0,0,algo_enhanced,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,11:18:11,no-solution-to-validate
70,share2b,80,107,8560,24,8,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:01:08,valid solution
71,share2b,80,107,8560,24,8,0,0,0,theorem_model,coinbc,10,no,equal by permutation,netlib/,equivalent,20:12:44,valid solution
72,share2b,80,107,8560,24,8,0,0,0,theorem_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:02:56,valid solution
73,share2b,80,107,8560,24,8,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:34,valid solution
74,share2b,80,107,8560,24,8,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:41,valid solution
75,share2b,80,107,8560,24,8,0,0,0,quadratic_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
76,share2b,80,107,8560,24,8,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:01:28,valid solution
77,share2b,80,107,8560,24,8,0,0,0,quadratic_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:28,valid solution
78,share2b,80,107,8560,24,8,0,0,0,permutation_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:00:54,valid solution
79,share2b,80,107,8560,24,8,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,netlib/,unknown, ,no result file
80,share2b,80,107,8560,24,8,0,0,0,permutation_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:05:33,valid solution
81,share2b,80,107,8560,24,8,0,0,0,permutation_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:23,valid solution
82,share2b,80,107,8560,24,8,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,0:12:30,no-solution-to-validate
83,share2b,80,107,8560,24,8,0,0,0,algo_enhanced,no_solver,10,unknown-due-to-timeout,eq,netlib/,unknown,6:9:47,no-solution-to-validate
84,blend,84,116,9744,32,26,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,netlib/,equivalent,00:01:26,valid solution
85,blend,84,116,9744,32,26,0,0,0,theorem_model,coinbc,10,no,equal by permutation,netlib/,equivalent,42:59:28,valid solution
86,blend,84,116,9744,32,26,0,0,0,theorem_model,chuffed,10,no,equal by permutation,netlib/,equivalent,00:03:09,valid solution
87,blend,84,116,9744,32,26,0,0,0,theorem_model,gecode,10,no,equal by permutation,netlib/,equivalent,00:00:47,valid solution
