,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation,luby_cst,seed
44,grow22,947,881,834307,265,251,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
45,standgub,1185,520,616200,120,250,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
46,fffff800,855,829,708795,192,224,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
47,standmps,1076,732,787632,34,296,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
48,seba,1036,1030,1067080,227,82,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
49,scrs8,1170,863,1009710,169,154,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
50,ship04s,1459,573,836007,188,318,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
51,scfxm2,915,937,857355,282,165,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
52,wood1p,2595,487,1263765,107,555,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
53,gfrd-pnc,1093,1133,1238369,224,77,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
54,bnl1,1176,821,965496,261,325,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
55,ship04l,2119,749,1587131,115,641,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
56,perold,1377,1117,1538109,20,419,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
57,shell,1776,1071,1902096,342,485,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
58,fit1p,1678,1255,2105890,357,369,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
59,scsd8,2751,795,2187045,267,832,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
60,modszk1,1621,1373,2225633,335,223,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
61,maros,1444,1147,1656268,132,180,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
62,25fv47,1572,1276,2005872,328,502,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
63,scfxm3,1372,1405,1927660,308,248,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
64,ship08s,2388,885,2113380,266,489,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
65,pilot.ja,1989,1598,3178422,436,562,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
66,nesm,3012,1231,3707772,246,91,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
67,pilot.we,2790,1306,3643740,208,294,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
68,sctap2,1881,1561,2936241,361,269,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
69,pilotnov,2173,1673,3635429,259,720,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
70,ganges,1682,2250,3784500,482,383,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
71,sierra,2037,1756,3576972,273,484,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
72,degen3,1819,2221,4039999,639,407,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
73,ship12s,2764,1045,2888380,175,902,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
74,czprob,3524,1439,5071036,241,1013,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
75,ship08l,4284,1429,6121836,469,929,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
76,sctap3,2481,2101,5212581,610,620,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
77,stocfor2,2032,3285,6675120,1063,624,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
78,pilot,3653,1671,6104163,229,1208,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
79,cycle,2858,3119,8914102,1034,606,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
80,bnl2,3490,3512,12256880,749,1082,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
81,pilot87,4884,2256,11018304,175,1594,0,0,0,algo_enhanced,no_solver,1,unknown,equal by permutation,netlib/,unknown, ,no result file,7,1
82,afiro,33,34,1122,8,6,86,5,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,7,1
83,kb2,42,60,2520,12,5,109,14,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,7,1
84,sc50a,49,71,3479,12,9,267,4,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,7,1
85,sc50b,49,71,3479,18,4,126,12,0,algo_enhanced,no_solver,1,unknown,not equal by permutation,netlib/,unknown, ,no result file,7,1
86,adlittle,98,68,6664,20,27,27,6,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,7,1
87,blend,84,116,9744,36,23,456,17,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,7,1
88,share2b,80,107,8560,31,17,261,0,0,algo_enhanced,no_solver,10,solved-without-timeout,not_eq,netlib/,not-equivalent,0:0:0,no-solution-to-validate,7,1
