,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
35,Mat_polynomial5,23,17,391,4,3,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:05,valid solution
36,Mat_polynomial5,23,17,391,4,3,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
37,Mat_polynomial5,23,17,391,4,3,0,0,0,permutation_model,coinbc,10,no,equal by permutation,polynomial_fitting/,not equivalent,00:01:42,
38,Mat_polynomial5,23,17,391,4,3,0,0,0,permutation_model,chuffed,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
39,Mat_polynomial5,23,17,391,4,3,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
40,Mat_polynomial5,23,17,391,4,3,0,0,0,algo,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
41,Mat_polynomial5,23,17,391,4,3,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
42,Mat_polynomial6,22,19,418,5,4,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:08,valid solution
43,Mat_polynomial6,22,19,418,5,4,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:20,valid solution
44,Mat_polynomial6,22,19,418,5,4,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
45,Mat_polynomial6,22,19,418,5,4,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
46,Mat_polynomial6,22,19,418,5,4,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
47,Mat_polynomial6,22,19,418,5,4,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:03,valid solution
48,Mat_polynomial6,22,19,418,5,4,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
49,Mat_polynomial6,22,19,418,5,4,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
50,Mat_polynomial6,22,19,418,5,4,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
51,Mat_polynomial6,22,19,418,5,4,0,0,0,permutation_model,coinbc,10,yes,equal by permutation,polynomial_fitting/,unknown due to timeout,48:15:32,
52,Mat_polynomial6,22,19,418,5,4,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
53,Mat_polynomial6,22,19,418,5,4,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
54,Mat_polynomial6,22,19,418,5,4,0,0,0,algo,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:5:18,valid-solution
55,Mat_polynomial6,22,19,418,5,4,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
56,Mat_polynomial7,25,21,525,1,2,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
57,Mat_polynomial7,25,21,525,1,2,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:42,valid solution
58,Mat_polynomial7,25,21,525,1,2,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
59,Mat_polynomial7,25,21,525,1,2,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
60,Mat_polynomial7,25,21,525,1,2,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
61,Mat_polynomial7,25,21,525,1,2,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:05,valid solution
62,Mat_polynomial7,25,21,525,1,2,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
63,Mat_polynomial7,25,21,525,1,2,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
64,Mat_polynomial7,25,21,525,1,2,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
65,Mat_polynomial7,25,21,525,1,2,0,0,0,permutation_model,coinbc,10,yes,equal by permutation,polynomial_fitting/,unknown due to timeout,48:16:07,
66,Mat_polynomial7,25,21,525,1,2,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
67,Mat_polynomial7,25,21,525,1,2,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
68,Mat_polynomial7,25,21,525,1,2,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,polynomial_fitting/,unknown,0:31:30,no-solution-to-validate
69,Mat_polynomial7,25,21,525,1,2,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
70,Mat_polynomial8,28,23,644,3,3,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
71,Mat_polynomial8,28,23,644,3,3,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:01:18,valid solution
72,Mat_polynomial8,28,23,644,3,3,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:03,valid solution
73,Mat_polynomial8,28,23,644,3,3,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
74,Mat_polynomial8,28,23,644,3,3,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
75,Mat_polynomial8,28,23,644,3,3,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,not equivalent,00:00:08,
76,Mat_polynomial8,28,23,644,3,3,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
77,Mat_polynomial8,28,23,644,3,3,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
78,Mat_polynomial8,28,23,644,3,3,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
79,Mat_polynomial8,28,23,644,3,3,0,0,0,permutation_model,coinbc,10,yes,equal by permutation,polynomial_fitting/,unknown due to timeout,48:19:26,
80,Mat_polynomial8,28,23,644,3,3,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:06,valid solution
81,Mat_polynomial8,28,23,644,3,3,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:00,valid solution
82,Mat_polynomial8,28,23,644,3,3,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,polynomial_fitting/,unknown,0:31:30,no-solution-to-validate
83,Mat_polynomial8,28,23,644,3,3,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
84,Mat_polynomial9,31,25,775,7,8,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
85,Mat_polynomial9,31,25,775,7,8,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:02:14,valid solution
86,Mat_polynomial9,31,25,775,7,8,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:03,valid solution
87,Mat_polynomial9,31,25,775,7,8,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
88,Mat_polynomial9,31,25,775,7,8,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
89,Mat_polynomial9,31,25,775,7,8,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:10,valid solution
90,Mat_polynomial9,31,25,775,7,8,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:03,valid solution
91,Mat_polynomial9,31,25,775,7,8,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
92,Mat_polynomial9,31,25,775,7,8,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
93,Mat_polynomial9,31,25,775,7,8,0,0,0,permutation_model,coinbc,10,yes,equal by permutation,polynomial_fitting/,unknown due to timeout,48:15:52,
94,Mat_polynomial9,31,25,775,7,8,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:04,valid solution
95,Mat_polynomial9,31,25,775,7,8,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:17,valid solution
96,Mat_polynomial9,31,25,775,7,8,0,0,0,algo,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:4:53,valid-solution
97,Mat_polynomial9,31,25,775,7,8,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
98,Mat_polynomial10,30,27,810,2,3,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
99,Mat_polynomial10,30,27,810,2,3,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:02:20,valid solution
100,Mat_polynomial10,30,27,810,2,3,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:19,valid solution
101,Mat_polynomial10,30,27,810,2,3,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:17,valid solution
102,Mat_polynomial10,30,27,810,2,3,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
103,Mat_polynomial10,30,27,810,2,3,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:17,valid solution
104,Mat_polynomial10,30,27,810,2,3,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:08,valid solution
105,Mat_polynomial10,30,27,810,2,3,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:09,valid solution
106,Mat_polynomial10,30,27,810,2,3,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
107,Mat_polynomial10,30,27,810,2,3,0,0,0,permutation_model,coinbc,10,yes,equal by permutation,polynomial_fitting/,unknown due to timeout,48:21:24,
108,Mat_polynomial10,30,27,810,2,3,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:20,valid solution
109,Mat_polynomial10,30,27,810,2,3,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:17,valid solution
110,Mat_polynomial10,30,27,810,2,3,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,polynomial_fitting/,unknown,0:31:30,no-solution-to-validate
111,Mat_polynomial10,30,27,810,2,3,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
112,Mat_polynomial11,33,29,957,8,11,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
113,Mat_polynomial11,33,29,957,8,11,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:03:24,valid solution
114,Mat_polynomial11,33,29,957,8,11,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:20,valid solution
115,Mat_polynomial11,33,29,957,8,11,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:17,valid solution
116,Mat_polynomial11,33,29,957,8,11,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
117,Mat_polynomial11,33,29,957,8,11,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:16,valid solution
118,Mat_polynomial11,33,29,957,8,11,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:06,valid solution
119,Mat_polynomial11,33,29,957,8,11,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
120,Mat_polynomial11,33,29,957,8,11,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
121,Mat_polynomial11,33,29,957,8,11,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
122,Mat_polynomial11,33,29,957,8,11,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:06,valid solution
123,Mat_polynomial11,33,29,957,8,11,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
124,Mat_polynomial11,33,29,957,8,11,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,polynomial_fitting/,unknown,0:31:30,no-solution-to-validate
125,Mat_polynomial11,33,29,957,8,11,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
126,Mat_polynomial12,36,31,1116,8,4,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
127,Mat_polynomial12,36,31,1116,8,4,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:06:17,valid solution
128,Mat_polynomial12,36,31,1116,8,4,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:06,valid solution
129,Mat_polynomial12,36,31,1116,8,4,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
130,Mat_polynomial12,36,31,1116,8,4,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
131,Mat_polynomial12,36,31,1116,8,4,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:33,valid solution
132,Mat_polynomial12,36,31,1116,8,4,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:06,valid solution
133,Mat_polynomial12,36,31,1116,8,4,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
134,Mat_polynomial12,36,31,1116,8,4,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
135,Mat_polynomial12,36,31,1116,8,4,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
136,Mat_polynomial12,36,31,1116,8,4,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:10,valid solution
137,Mat_polynomial12,36,31,1116,8,4,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
138,Mat_polynomial12,36,31,1116,8,4,0,0,0,algo,no_solver,10,unknown-due-to-timeout,eq,polynomial_fitting/,unknown,0:31:30,no-solution-to-validate
139,Mat_polynomial12,36,31,1116,8,4,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
140,Mat_polynomial13,39,33,1287,6,10,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
141,Mat_polynomial13,39,33,1287,6,10,0,0,0,theorem_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:08:35,valid solution
142,Mat_polynomial13,39,33,1287,6,10,0,0,0,theorem_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:09,valid solution
143,Mat_polynomial13,39,33,1287,6,10,0,0,0,theorem_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:02,valid solution
144,Mat_polynomial13,39,33,1287,6,10,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
145,Mat_polynomial13,39,33,1287,6,10,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:22,valid solution
146,Mat_polynomial13,39,33,1287,6,10,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:09,valid solution
147,Mat_polynomial13,39,33,1287,6,10,0,0,0,quadratic_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
148,Mat_polynomial13,39,33,1287,6,10,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,polynomial_fitting/,unknown, ,no result file
149,Mat_polynomial13,39,33,1287,6,10,0,0,0,permutation_model,coinbc,10,no,equal by permutation,polynomial_fitting/,not equivalent,03:00:19,
150,Mat_polynomial13,39,33,1287,6,10,0,0,0,permutation_model,chuffed,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:11,valid solution
151,Mat_polynomial13,39,33,1287,6,10,0,0,0,permutation_model,gecode,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:01,valid solution
152,Mat_polynomial13,39,33,1287,6,10,0,0,0,algo,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:13:53,valid-solution
153,Mat_polynomial13,39,33,1287,6,10,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,polynomial_fitting/,equivalent,0:0:0,valid-solution
154,Mat_polynomial14,38,35,1330,5,12,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,polynomial_fitting/,equivalent,00:00:03,valid solution
