,instance name,number of variables,number of constraints,size,number of permuted constraints,number of permuted variables,number of permuted coef variables,number of modified coef variables,number of scaled constraints,model,solver,max scale,timeout with no decision,type of instance,origin of the MPS,result of the test,execution time,validation
371,Mat_knapsack28,48,45,2160,12,17,0,0,0,quadratic_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:09,valid solution
372,Mat_knapsack28,48,45,2160,12,17,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
373,Mat_knapsack28,48,45,2160,12,17,0,0,0,permutation_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,10:29:20,valid solution
374,Mat_knapsack28,48,45,2160,12,17,0,0,0,permutation_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:26,valid solution
375,Mat_knapsack28,48,45,2160,12,17,0,0,0,permutation_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:02,valid solution
376,Mat_knapsack28,48,45,2160,12,17,0,0,0,algo,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
377,Mat_knapsack28,48,45,2160,12,17,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
378,Mat_knapsack29,51,45,2295,12,10,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:07,valid solution
379,Mat_knapsack29,51,45,2295,12,10,0,0,0,theorem_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:42:41,valid solution
380,Mat_knapsack29,51,45,2295,12,10,0,0,0,theorem_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:18,valid solution
381,Mat_knapsack29,51,45,2295,12,10,0,0,0,theorem_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:04,valid solution
382,Mat_knapsack29,51,45,2295,12,10,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:10,valid solution
383,Mat_knapsack29,51,45,2295,12,10,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:09:56,valid solution
384,Mat_knapsack29,51,45,2295,12,10,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:41,valid solution
385,Mat_knapsack29,51,45,2295,12,10,0,0,0,quadratic_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:10,valid solution
386,Mat_knapsack29,51,45,2295,12,10,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
387,Mat_knapsack29,51,45,2295,12,10,0,0,0,permutation_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,01:18:08,valid solution
388,Mat_knapsack29,51,45,2295,12,10,0,0,0,permutation_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:28,valid solution
389,Mat_knapsack29,51,45,2295,12,10,0,0,0,permutation_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:03,valid solution
390,Mat_knapsack29,51,45,2295,12,10,0,0,0,algo,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
391,Mat_knapsack29,51,45,2295,12,10,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
392,Mat_knapsack30,51,45,2295,15,7,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:07,valid solution
393,Mat_knapsack30,51,45,2295,15,7,0,0,0,theorem_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:42:55,valid solution
394,Mat_knapsack30,51,45,2295,15,7,0,0,0,theorem_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:18,valid solution
395,Mat_knapsack30,51,45,2295,15,7,0,0,0,theorem_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:04,valid solution
396,Mat_knapsack30,51,45,2295,15,7,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:09,valid solution
397,Mat_knapsack30,51,45,2295,15,7,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:07:00,valid solution
398,Mat_knapsack30,51,45,2295,15,7,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:37,valid solution
399,Mat_knapsack30,51,45,2295,15,7,0,0,0,quadratic_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:08,valid solution
400,Mat_knapsack30,51,45,2295,15,7,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
401,Mat_knapsack30,51,45,2295,15,7,0,0,0,permutation_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,01:56:43,valid solution
402,Mat_knapsack30,51,45,2295,15,7,0,0,0,permutation_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:27,valid solution
403,Mat_knapsack30,51,45,2295,15,7,0,0,0,permutation_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:04,valid solution
404,Mat_knapsack30,51,45,2295,15,7,0,0,0,algo,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
405,Mat_knapsack30,51,45,2295,15,7,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
406,Mat_knapsack31,53,48,2544,6,14,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:10,valid solution
407,Mat_knapsack31,53,48,2544,6,14,0,0,0,theorem_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:57:15,valid solution
408,Mat_knapsack31,53,48,2544,6,14,0,0,0,theorem_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:21,valid solution
409,Mat_knapsack31,53,48,2544,6,14,0,0,0,theorem_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:04,valid solution
410,Mat_knapsack31,53,48,2544,6,14,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:10,valid solution
411,Mat_knapsack31,53,48,2544,6,14,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:09:13,valid solution
412,Mat_knapsack31,53,48,2544,6,14,0,0,0,quadratic_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:01:25,valid solution
413,Mat_knapsack31,53,48,2544,6,14,0,0,0,quadratic_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:13,valid solution
414,Mat_knapsack31,53,48,2544,6,14,0,0,0,permutation_model,cp-sat,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
415,Mat_knapsack31,53,48,2544,6,14,0,0,0,permutation_model,coinbc,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
416,Mat_knapsack31,53,48,2544,6,14,0,0,0,permutation_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:32,valid solution
417,Mat_knapsack31,53,48,2544,6,14,0,0,0,permutation_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:04,valid solution
418,Mat_knapsack31,53,48,2544,6,14,0,0,0,algo,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
419,Mat_knapsack31,53,48,2544,6,14,0,0,0,algo_enhanced,no_solver,10,solved-without-timeout,eq,fractional_multidim_knapsack/,equivalent,0:0:0,valid-solution
420,Mat_knapsack32,55,50,2750,15,15,0,0,0,theorem_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:17,valid solution
421,Mat_knapsack32,55,50,2750,15,15,0,0,0,theorem_model,coinbc,1,unknown,equal by permutation,fractional_multidim_knapsack/,unknown, ,no result file
422,Mat_knapsack32,55,50,2750,15,15,0,0,0,theorem_model,chuffed,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:28,valid solution
423,Mat_knapsack32,55,50,2750,15,15,0,0,0,theorem_model,gecode,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:07,valid solution
424,Mat_knapsack32,55,50,2750,15,15,0,0,0,quadratic_model,cp-sat,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:00:11,valid solution
425,Mat_knapsack32,55,50,2750,15,15,0,0,0,quadratic_model,coinbc,10,no,equal by permutation,fractional_multidim_knapsack/,equivalent,00:27:24,valid solution
